Date : 2025-05-31 13:55:30
Directory : d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3
Total : 241 files,  35783 codes, 5344 comments, 7761 blanks, all 48888 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\az.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\bg.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\bn.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\bs.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ca.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\cs.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\da.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\de.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\dsb.js                   | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\el.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\en.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\es.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\et.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\eu.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\fa.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\fi.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\fr.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\gl.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\he.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\hi.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\hr.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\hsb.js                   | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\hu.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\hy.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\id.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\is.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\it.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ja.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ka.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\km.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ko.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\lt.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\lv.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\mk.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ms.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\nb.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ne.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\nl.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\pl.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ps.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\pt-BR.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\pt.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ro.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ru.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\sk.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\sl.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\sq.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\sr-Cyrl.js               | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\sr.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\sv.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\th.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\tk.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\tr.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\uk.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\vi.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\zh-CN.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\zh-TW.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\select2.full.js               | JavaScript       |      5,102 |        384 |      1,335 |      6,821 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\select2.full.min.js           | JavaScript       |          1 |          1 |          0 |          2 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\xregexp\xregexp.js                    | JavaScript       |      3,817 |      1,303 |      1,007 |      6,127 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\xregexp\xregexp.min.js                | JavaScript       |          4 |         13 |          1 |         18 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\css\bootstrap-theme.min.css            | PostCSS          |          1 |          5 |          0 |          6 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\css\bootstrap-tweaks.css               | PostCSS          |        177 |         15 |         46 |        238 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\css\bootstrap.min.css                  | PostCSS          |          1 |          5 |          0 |          6 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\css\default.css                        | PostCSS          |         62 |          3 |         18 |         83 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\css\font-awesome-4.0.3.css             | PostCSS          |      1,329 |          9 |          1 |      1,339 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\css\prettify.css                       | PostCSS          |         27 |          1 |          2 |         30 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\docs\css\base.css                      | PostCSS          |        291 |          4 |         65 |        360 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\docs\css\highlight.css                 | PostCSS          |        101 |          6 |         19 |        126 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\docs\css\jquery.json-view.min.css      | PostCSS          |         11 |          0 |          0 |         11 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\docs\js\api.js                         | JavaScript       |        259 |         20 |         37 |        316 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\docs\js\highlight.pack.js              | JavaScript       |          2 |          0 |          0 |          2 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\docs\js\jquery.json-view.min.js        | JavaScript       |          1 |          6 |          0 |          7 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\fonts\fontawesome-webfont.svg          | XML              |        414 |          0 |          1 |        415 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\fonts\glyphicons-halflings-regular.svg | XML              |        288 |          0 |          1 |        289 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\ajax-form.js                        | JavaScript       |         95 |         16 |         23 |        134 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\bootstrap.min.js                    | JavaScript       |          1 |          5 |          0 |          6 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\coreapi-0.1.1.js                    | JavaScript       |      1,537 |        219 |        287 |      2,043 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\csrf.js                             | JavaScript       |         35 |          9 |         10 |         54 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\default.js                          | JavaScript       |         32 |          6 |         10 |         48 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\jquery-3.7.1.min.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\load-ajax-form.js                   | JavaScript       |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\rest_framework\js\prettify-min.js                     | JavaScript       |         28 |          0 |          1 |         29 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\about.html                                              | HTML             |        294 |          7 |         25 |        326 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\base.html                                               | HTML             |        181 |          3 |         23 |        207 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\booking_create.html                             | HTML             |        110 |          0 |         17 |        127 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\my_bookings.html                                | HTML             |        208 |         43 |         40 |        291 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\my_favourites.html                              | HTML             |        114 |         27 |         22 |        163 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\my_reviews.html                                 | HTML             |         47 |          1 |          5 |         53 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\post_create.html                                | HTML             |        113 |          0 |         16 |        129 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\post_detail.html                                | HTML             |        135 |          0 |         24 |        159 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\profile.html                                    | HTML             |         62 |          0 |          1 |         63 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\script_create.html                              | HTML             |        131 |          0 |         15 |        146 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\script_detail.html                              | HTML             |        242 |          6 |         24 |        272 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\store_create.html                               | HTML             |        132 |          0 |         14 |        146 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\booking\store_detail.html                               | HTML             |        122 |          5 |         16 |        143 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\community.html                                          | HTML             |        210 |         16 |         30 |        256 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\index.html                                              | HTML             |        242 |         11 |         27 |        280 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\jvbenku.html                                            | HTML             |        650 |         19 |         58 |        727 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\login.html                                              | HTML             |        215 |          0 |         28 |        243 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\register.html                                           | HTML             |        147 |          0 |         18 |        165 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\templates\stores.html                                             | HTML             |        247 |          2 |         32 |        281 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\__init__.py                                                 | Python           |          0 |          0 |          1 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\admin.py                                                    | Python           |          1 |          1 |          2 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\apps.py                                                     | Python           |          4 |          0 |          3 |          7 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\models.py                                                   | Python           |         12 |          0 |          3 |         15 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\serializers.py                                              | Python           |         17 |          0 |          2 |         19 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\tests.py                                                    | Python           |          1 |          1 |          2 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\urls.py                                                     | Python           |          8 |          0 |          2 |         10 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\users\views.py                                                    | Python           |         24 |          0 |          6 |         30 |
| Total                                                                                                                                                  |                  |     35,783 |      5,344 |      7,761 |     48,888 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
